PARID,Tax Year,Case Number,Reason,Application Date,RESDATE,RESACT,Value in Dispute,VALCASE,Case Status,PROPERTY TYPE,CLASS,REGION,CITYNAME,District,Township,School District,NBHD,Hearing Type,TAXYR (NUMBER),Noticval,Txpyval,Note
414245B028.,2020,2020-849,Value in dispute,3/31/21,6/30/21,Decrease Value,25900,,,RP,R,41,CINCINNATI,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,01514R41,Board of Revision,2020,113900,88000,BOTH PROPERTIES ARE RESIDENTIAL RENTAL UNITS. THEY ARE OLDER HOMES IN DISREPAIR. THEY DON'T HAVE REMIUM FINISHES AND COULDN'T BE SOLD FOR ANYTHING NEAR THE CURRENT VALUATION.
260911.016.,2020,2020-850,Value in dispute,3/18/21,7/21/21,Decrease Value,60900,,,RP,R,26,,OHIO TWP/ NEW RICH VILL/ NEW RICH EVSD, NEW RICH VILL, NEW RICH EVSD,02303R26,Board of Revision,2020,92900,32000,"PURCHASED PROPERTY FOR 31,786 ON 9/4/2018. HOME IS IN NEED OF COMPLETE REHAB, VACANT SINCE PURCHASE. AND HOME IS IN FLOOD ZONE."
260921.468.,2020,2020-851,Recent Sale,3/18/21,7/21/21,Decrease Value,30000,,,RP,R,26,,OHIO TWP/ NEW RICH VILL/ NEW RICH EVSD, NEW RICH VILL, NEW RICH EVSD,02403R26,Board of Revision,2020,83900,53900,"PURCHASED PROPERTY FOR 60,000 2/24/2020, PROPERTY NEEDS COMPLETE REMODEL AND PROEPERTY IS IN FLOOD ZONE."
260921.469.,2020,2020-851,Recent Sale,3/18/21,7/21/21,No Change in Value,0,,,RP,R,26,,OHIO TWP/ NEW RICH VILL/ NEW RICH EVSD, NEW RICH VILL, NEW RICH EVSD,02403R26,Board of Revision,2020,6100,6100,"PURCHASED PROPERTY FOR 60,000 2/24/2020, PROPERTY NEEDS COMPLETE REMODEL AND PROEPERTY IS IN FLOOD ZONE."
260902.020A,2020,2020-852,Recent Sale,3/8/21,7/21/21,Decrease Value,2900,,,RP,C,26,,OHIO TWP/ NEW RICH VILL/ NEW RICH EVSD, NEW RICH VILL, NEW RICH EVSD,C2408000,Board of Revision,2020,3900,1000,"PURCHASED PROPERTY FOR 5000 ON 3/07/2018, VACANT PROPERTY IN FLOOD ZONE."
260902.021.,2020,2020-852,Recent Sale,3/8/21,7/21/21,Decrease Value,14300,,,RP,C,26,,OHIO TWP/ NEW RICH VILL/ NEW RICH EVSD, NEW RICH VILL, NEW RICH EVSD,C2408000,Board of Revision,2020,18300,4000,"PURCHASED PROPERTY FOR 5000 ON 3/07/2018, VACANT PROPERTY IN FLOOD ZONE."
260922.066.,2020,2020-853,Recent Sale,3/18/21,8/11/21,No Change in Value,38500,,,RP,C,26,,OHIO TWP/ NEW RICH VILL/ NEW RICH EVSD, NEW RICH VILL, NEW RICH EVSD,C2404000,Board of Revision,2020,93500,55000,"OVERPAID DUE TO SELLER HOLDING LEIN NOTE ON AN OWNER FINANCING AGREEMENT. NO UNDERWRITING DUE TO FLOOD ZONE AND EXTENSIVE REPAIRS NEEDED. NEEDS ROOF ON BOTH LEVELS, LOT NEEDS REPAVED AND AC WAS STOLEN."
260907.215.,2020,2020-854,Recent Sale,3/18/21,8/11/21,Decrease Value,32800,,,RP,R,26,,OHIO TWP/ NEW RICH VILL/ NEW RICH EVSD, NEW RICH VILL, NEW RICH EVSD,02403R26,Board of Revision,2020,62800,30000,"PURCHASED PROPERTY FOR 29,750 ON 3/07/2018. HOME IN NEED OF REPAIRS."
032022C061.,2020,2020-855,Value in dispute,3/18/21,8/11/21,No Change in Value,86100,,,RP,C,3,,BATAVIA TWP / WEST CLERMONT LSD,BATAVIA TWP , WEST CLERMONT LSD,C4456000,Board of Revision,2020,236100,150000,"OVER PAID DUE TO OWNER FINANCING. ALL BUILDINGS NEED ROOF REPLACEMENT, CRACKING/SHIFTING FOUNDATIONS, OUTDATED ELECTRIC, LOT NEEDS PAVED."
242702F007.,2020,2020-856,Value in dispute,3/18/21,7/21/21,No Change in Value,0,,,RP,R,24,NEW RICHMOND,OHIO TWP / NEW RICHMOND EVSD,OHIO TWP , NEW RICHMOND EVSD,02216R24,Board of Revision,2020,2900,2900,"PURCHASED FOR 55,000. HOME NEEDS FULL REMODEL AND IT IS IN THE FLOOD ZONE."
260911.007.,2020,2020-856,Value in dispute,3/18/21,7/21/21,Decrease Value,44800,,,RP,R,26,NEW RICHMOND,OHIO TWP/ NEW RICH VILL/ NEW RICH EVSD, NEW RICH VILL, NEW RICH EVSD,02303R26,Board of Revision,2020,96900,52100,"PURCHASED FOR 55,000. HOME NEEDS FULL REMODEL AND IT IS IN THE FLOOD ZONE."
232609B033.,2020,2020-857,Value in dispute,3/18/21,7/27/21,Decrease Value,82800,,,RP,A,23,,MONROE TWP / WEST CLERMONT LSD,MONROE TWP , WEST CLERMONT LSD,02516A23,Board of Revision,2020,172800,90000,"MOBILE HOMES ON PROPERTY OVERPAID DUE TO POTENTIAL BUT NO UNDERWRITING AAILABLE DUE TO RESTRICTIONS ON LENDING, ALL SWPTIC, NO GAS, IN NEED OF MANY REPAIRS."
282805B050.,2020,2020-858,Value in dispute,3/18/21,8/11/21,Decrease Value,61100,,,RP,R,28,AMELIA,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,01835R28,Board of Revision,2020,86100,25000,"PURCHASED FOR 25,000 ON 11/30/18. HOUSE NEEDS COMPLETELY GUTTED, NO FLOORS, NEEDS WINDOWS AND HAS BEEN VACANT SINCE 2001."
272813D022.,2020,2020-859,Value in dispute,3/18/21,8/11/21,Decrease Value,26400,,,RP,R,27,,PIERCE TWP / NEW RICHMOND EVSD,PIERCE TWP , NEW RICHMOND EVSD,01918R27,Board of Revision,2020,65400,39000,"PURCHASED FOR 39000 IN 2015, HOUSE NEEDS ROOF, HAS FALLING FLOOR JOIST AND NEEDS COMPLETE REHAB"
323023F168.,2020,2020-860,Value in dispute,3/18/21,8/11/21,Decrease Value,52900,,,RP,R,32,,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,03014R32,Board of Revision,2020,127900,75000,HOME NEEDS TOTAL REHAB TOP TO BOTTOM. NO UNDERWRITING AVAILABLE
050103.035.,2020,2020-861,Value in dispute,3/18/21,8/11/21,No Change in Value,9800,,,RP,C,5,,BATAVIA TWP/FORM AMELIA/ W CLERMONT LSD,FORM AMELIA, W CLERMONT LSD,C2107000,Board of Revision,2020,29800,20000,"HOME NEEDS ALL NEW ELECTRIC, FLOORING, INSULATION, WINDOWS, DOORS, SIDING, BASEMENT FLOODS, NEEDS REHABED. NO UNDERWRITING AVAILABLE."
050103.055.,2020,2020-861,Value in dispute,3/18/21,8/11/21,No Change in Value,4500,,,RP,C,5,,BATAVIA TWP/FORM AMELIA/ W CLERMONT LSD,FORM AMELIA, W CLERMONT LSD,C2107000,Board of Revision,2020,7000,2500,"HOME NEEDS ALL NEW ELECTRIC, FLOORING, INSULATION, WINDOWS, DOORS, SIDING, BASEMENT FLOODS, NEEDS REHABED. NO UNDERWRITING AVAILABLE."
050103.056.,2020,2020-861,Value in dispute,3/18/21,8/11/21,No Change in Value,32600,,,RP,C,5,,BATAVIA TWP/FORM AMELIA/ W CLERMONT LSD,FORM AMELIA, W CLERMONT LSD,C2107000,Board of Revision,2020,57600,25000,"HOME NEEDS ALL NEW ELECTRIC, FLOORING, INSULATION, WINDOWS, DOORS, SIDING, BASEMENT FLOODS, NEEDS REHABED. NO UNDERWRITING AVAILABLE."
260909.002P,2020,2020-862,Value in dispute,3/18/21,7/21/21,No Change in Value,,,,RP,C,26,,OHIO TWP/ NEW RICH VILL/ NEW RICH EVSD, NEW RICH VILL, NEW RICH EVSD,C2408000,Board of Revision,2020,0,0,"INVOLVED IN A TORNADO, ROOF WAS RIPPED OFF AND WATER DAMAGE TO COMPLETE INSIDE. ELECTRIC HAS BEEN COMPROMISED, FLOOD ZONE, NO UNDERWRITING AVAILABLE. EMPTY PARCELS ATTACHED"
260909.233.,2020,2020-862,Value in dispute,3/18/21,7/21/21,Decrease Value,86300,,,RP,C,26,,OHIO TWP/ NEW RICH VILL/ NEW RICH EVSD, NEW RICH VILL, NEW RICH EVSD,C2408000,Board of Revision,2020,169300,83000,"INVOLVED IN A TORNADO, ROOF WAS RIPPED OFF AND WATER DAMAGE TO COMPLETE INSIDE. ELECTRIC HAS BEEN COMPROMISED, FLOOD ZONE, NO UNDERWRITING AVAILABLE. EMPTY PARCELS ATTACHED"
260909.234A,2020,2020-862,Value in dispute,3/18/21,7/21/21,Decrease Value,8900,,,RP,C,26,,OHIO TWP/ NEW RICH VILL/ NEW RICH EVSD, NEW RICH VILL, NEW RICH EVSD,C2408000,Board of Revision,2020,10900,2000,"INVOLVED IN A TORNADO, ROOF WAS RIPPED OFF AND WATER DAMAGE TO COMPLETE INSIDE. ELECTRIC HAS BEEN COMPROMISED, FLOOD ZONE, NO UNDERWRITING AVAILABLE. EMPTY PARCELS ATTACHED"
260909.234B,2020,2020-862,Value in dispute,3/18/21,7/21/21,Decrease Value,8500,,,RP,C,26,,OHIO TWP/ NEW RICH VILL/ NEW RICH EVSD, NEW RICH VILL, NEW RICH EVSD,C2408000,Board of Revision,2020,10500,2000,"INVOLVED IN A TORNADO, ROOF WAS RIPPED OFF AND WATER DAMAGE TO COMPLETE INSIDE. ELECTRIC HAS BEEN COMPROMISED, FLOOD ZONE, NO UNDERWRITING AVAILABLE. EMPTY PARCELS ATTACHED"
260909.235B,2020,2020-862,Value in dispute,3/18/21,7/21/21,Decrease Value,1400,,,RP,C,26,,OHIO TWP/ NEW RICH VILL/ NEW RICH EVSD, NEW RICH VILL, NEW RICH EVSD,C2408000,Board of Revision,2020,2400,1000,"INVOLVED IN A TORNADO, ROOF WAS RIPPED OFF AND WATER DAMAGE TO COMPLETE INSIDE. ELECTRIC HAS BEEN COMPROMISED, FLOOD ZONE, NO UNDERWRITING AVAILABLE. EMPTY PARCELS ATTACHED"
260909.235C,2020,2020-862,Value in dispute,3/18/21,7/21/21,Decrease Value,4700,,,RP,C,26,,OHIO TWP/ NEW RICH VILL/ NEW RICH EVSD, NEW RICH VILL, NEW RICH EVSD,C2408000,Board of Revision,2020,6700,2000,"INVOLVED IN A TORNADO, ROOF WAS RIPPED OFF AND WATER DAMAGE TO COMPLETE INSIDE. ELECTRIC HAS BEEN COMPROMISED, FLOOD ZONE, NO UNDERWRITING AVAILABLE. EMPTY PARCELS ATTACHED"
182403D138.,2020,2020-863,Value in dispute,3/31/21,7/30/21,Decrease Value,75000,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,00430R18,Board of Revision,2020,375000,300000,"OUR HOUSE IS THE SAME LAYOUT AS PARSONS (182403D125) AND IS ASSESSEDE AT 347,500 WITH 54K TO LAND VALUE. OUR LAND VALUE IS ALSO LISTED AT 54K BUT IS AN UNUSABLE RAVINE, UNLIKE PEARSONS. ALSO THE SZ FT LISTED SEEMS TO INCLUCE DECKS, DRIVEWAY, & GARAGE, AND ALSO COMPLETELY DIFFERENT FROM 1766."
323019L109.,2020,2020-864,Value in dispute,3/29/21,7/1/21,Decrease Value,59208,,,RP,A,32,BETHEL,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,03014A32,Board of Revision,2020,96900,37692,"FOR TAX YEAR 2018 & 2019 PROPERTY VALUE WAS 19,900 + 6370 (CAUV)=$ 26270. PROPERTY WAS PURCHASED FROM A FARM PARCEL BREAKDOWN, SURROUNDING LOTS ARE"
413102E029.,2020,2020-865,Value in dispute,3/29/21,7/21/21,Decrease Value,58800,,,RP,R,41,AMELIA,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,01665R41,Board of Revision,2020,224300,165500,REQUESTING CLASSIFICATION CHANGE FROM COMMERICIAL TO RESIDENTIAL OWNED PROPERTY BY FRIEDMAN FAMILY SINCE DWELLING WAS BUILT IN 1950. MY SON LIVES IN THE HOME.
323019L109.,2020,2020-866,CAUV Status in Dispute,3/31/21,6/4/21,Reinstate CAUV,96900,,,RP,A,32,BETHEL,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,03014A32,Board of Revision,2020,96900,,CAUV
323019L124.,2020,2020-866,CAUV Status in Dispute,3/31/21,6/4/21,Reinstate CAUV,1870,,,RP,A,32,BETHEL,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,03014A32,Board of Revision,2020,1870,,CAUV
323019L126.,2020,2020-866,CAUV Status in Dispute,3/31/21,6/7/21,Reinstate CAUV,1880,,,RP,A,32,BETHEL,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,03014A32,Board of Revision,2020,1880,,CAUV
393110B012.,2020,2020-867,Value in dispute,3/31/21,7/19/21,No Change in Value,624500,,,RP,C,39,CINCINNATI,UNION TWP / MILFORD EVSD,UNION TWP , MILFORD EVSD,C1437000,Board of Revision,2020,1759400,1134900,ASSESSED VALUE ON AUDITOR'S BOOKS IS HIGHER THAN THE FAIR MARKET VALUE OF THE PARCEL.
413102B216.,2020,2020-868,Value in dispute,3/29/21,7/12/21,No Change in Value,0,,,RP,R,41,CINCINNATI,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,01685R41,Board of Revision,2020,2800,2800,"SUBJECT PROPERTY HAS ALL ORIGINAL SURFACES, WHICH DID NOT INCLUDE UPGRADED SELECTIONS WHEN BUILT IN 2011. HOME HAS VINYL FLOORS IN KITCHEN/BATHS, FORMICA COUNTERS, OAK CBINETS, ORIGINAL CARPET, UNFINISHED BASEMENT, 2 CAR GARAGE.SEE ATT"
413102B216T,2020,2020-868,Value in dispute,3/29/21,7/12/21,Decrease Value,54200,,,RP,E,41,CINCINNATI,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,01685R41,Board of Revision,2020,326400,272200,"SUBJECT PROPERTY HAS ALL ORIGINAL SURFACES, WHICH DID NOT INCLUDE UPGRADED SELECTIONS WHEN BUILT IN 2011. HOME HAS VINYL FLOORS IN KITCHEN/BATHS, FORMICA COUNTERS, OAK CBINETS, ORIGINAL CARPET, UNFINISHED BASEMENT, 2 CAR GARAGE.SEE ATT"
082117E015.,2020,2020-869,Value in dispute,3/30/21,7/20/21,Decrease Value,43300,,,RP,A,8,,FRANKLIN TWP / FELICITY LSD,FRANKLIN TWP , FELICITY LSD,02804A08,Board of Revision,2020,193300,150000,"WE PURCHASED THE PROPERTY IN 2013 FOR $125,000. THE HOUSE WAS IN BAD STRUCTUAL CONDITION. WE CONTINUE TO WORK ON RESTORING THE HOUSE, BUT TO DATE IT IS STILL NOT IN LIVEABLE CONDITION."
323015B025.,2020,2020-870,Recent Sale,3/31/21,8/20/21,Decrease Value,13000,,,RP,R,32,,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,03204R32,Board of Revision,2020,105000,92000,"IN AUGUST OF 2020 THIS PROPERTY WAS PURCHASED FOR $ 92,000 AND NO IMPROVEMENTS WERE MADE."
393110E127.,2020,2020-871,Value in dispute,3/31/21,8/3/21,No Change in Value,0,,,RP,R,39,CINCINNATI,UNION TWP / MILFORD EVSD,UNION TWP , MILFORD EVSD,01309R39,Board of Revision,2020,10800,10800,PLEASE SEE ATTACHED
393110E127T,2020,2020-871,Value in dispute,3/31/21,8/3/21,Decrease Value,80400,,,RP,E,39,CINCINNATI,UNION TWP / MILFORD EVSD,UNION TWP , MILFORD EVSD,01309R39,Board of Revision,2020,540600,460200,PLEASE SEE ATTACHED
360306.129C,2020,2020-872,Value in dispute,3/22/21,7/20/21,Decrease Value,26200,,,RP,R,36,,TATE TWP/ BETHEL VILL/ BETHEL LSD, BETHEL VILL, BETHEL LSD,03205R36,Board of Revision,2020,61200,35000,"THE VALUE ACCESSED IS HIGH, IT'S OVER THE PURCHASE PRICE THOUGH. THE VALUES ARE VERY MUCH OVER ASSESSED IN COMPARISON TO THE ACTUAL VALUE OF PROPERTY. THIS IS NOT A HIGH END HOME. HOMES ARE ROUGHER THAN OTHER HOMES. IT IS TOUGH PAYING WHAT I PAY NOW ESPECIALLY DUE TO PANDIMIC."
360306.102D,2020,2020-873,Value in dispute,3/18/21,7/21/21,Decrease Value,61600,,,RP,R,36,,TATE TWP/ BETHEL VILL/ BETHEL LSD, BETHEL VILL, BETHEL LSD,03205R36,Board of Revision,2020,126600,65000,"THE VALUE ASSESSED IS HIGH, IT'S OVER THE PURCHASE PRICE. THE VALUES ARE VERY MUCH OVER ASSESSED IN COMPARISON TO THE ACTUAL VALUE OF PROPERTY. THIS IS NOT A HIGH END HOME. HOMES ARE REOUGHER THAN OTHER HOMES IN THIS AREA. IT IS TOUGH PAYING WHAT I PAY NOW ESPECIALLY DUE TO THE PANDIMIC. I DON'T WANT TO LOSE."
360302.006P,2020,2020-874,Value in dispute,3/22/21,7/20/21,Decrease Value,19400,,,RP,R,36,,TATE TWP/ BETHEL VILL/ BETHEL LSD, BETHEL VILL, BETHEL LSD,03205R36,Board of Revision,2020,108400,89000,"THE VALUE ASSESSED IS HIGH, IT'S OVER THE PURCHASE PRICE. THE VALUES ARE VERY MUCH OVER ASSESSED IN COMPARISON TO THE ACTUAL VALUE OF PROPERTY. THIS IS NOT A HIGH END HOME. HOMES ARE ROUGHER THAN OTHER HOMES IN THIS AREA. IT IS TOUGH PAYING WHAT I PAY NOW ESPECIALLY DUE TO PANDIMIC. I DON'T WANT TO LOSE."
182515B025.,2020,2020-875,Value in dispute,3/24/21,7/30/21,Decrease Value,88092,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,00473R18,Board of Revision,2020,285300,197208,SEE ATTACHED
414141.018.,2020,2020-876,Value in dispute,2/18/21,8/20/21,Decrease Value,39300,,,RP,R,41,BATAVIA,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,01409R41,Board of Revision,2020,169300,130000,SEE ATTACHED LETTER
414104.001.,2020,2020-877,Value in dispute,3/31/21,7/12/21,Decrease Value,40100,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,01508R41,Board of Revision,2020,126800,86700,"HOUSE WAS PURCHASED FOR $35,501 IN 11/07/12. NO IMPROVEMENTS WERE MADE EXCEPT FOR PAINTING AND REFINISHING SOME AREAS OF FLOOR AND REBUILT A SHED. HOUSE IS NOT WORTH TO ME MORE THAN IT DID IN 2012. BECAUSE IT WAS BUILT IN 1950'S - EVERYTHING IS OUTDATED AND SO OLD. IT HAS NO POURED CONCRETE. SIDING"
272813C155.,2020,2020-878,Value in dispute,3/22/21,6/30/21,Decrease Value,48900,,,RP,R,27,,PIERCE TWP / NEW RICHMOND EVSD,PIERCE TWP , NEW RICHMOND EVSD,01826R27,Board of Revision,2020,645900,597000,PLEASE SEE THE ATTACHED EXHIBIT
286002.033B,2020,2020-879,Value in dispute,6/21/21,7/13/21,Decrease Value,24300,,,RP,R,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,01815R28,Board of Revision,2020,84300,60000,PLEASE SEE ATTACHED SHEET FOR DETAILS.
132202C344.,2020,2020-880,Value in dispute,3/17/21,12/7/21,DISMISS,292200,,,RP,R,13,,GOSHEN TWP / LOVELAND CITY SD,GOSHEN TWP , LOVELAND CITY SD,04181R13,Board of Revision,2020,292200,,SEE FULL STATEMENT ATTACHED
182402D354.,2020,2020-881,Value in dispute,1/12/21,12/7/21,DISMISS,159300,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,00220R18,Board of Revision,2020,159300,,SEE ATTACHED
539006.061C,2020,2020-882,Value in dispute,2/17/21,12/7/21,DISMISS,1800,,,RP,R,53,,WMSBURG TWP/WMSBURG VILL/WMSBURG LSD,WMSBURG VILL,WMSBURG LSD,03610R53,Board of Revision,2020,1800,,
224706.014A,2020,2020-883,Value in dispute,3/29/21,12/7/21,DISMISS,325900,,,RP,R,22,,MONROE TWP / NEW RICHMOND EVSD,MONROE TWP , NEW RICHMOND EVSD,02505R22,Board of Revision,2020,325900,,THERE IS 8 MOBILE HOME VERY CLOSE & NEST DOOR & ACROSS THE ROAD FROM US THAT IS IN VERY BAD SHAPE. 3 OF THEM ARE NOT LIVEABLE.
184033.008.,2020,2020-884,Value in dispute,3/26/21,6/30/21,Decrease Value,24800,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,00106R18,Board of Revision,2020,131500,106700,"ZERO IMPROVEMENTS HAVE BEEN MADE, PROPERTY IS OVER VALUED."
012006B042.,2020,2020-885,Value in dispute,3/5/21,7/26/21,Decrease Value,8000,,,RP,R,1,BATAVIA,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,04487R01,Board of Revision,2020,33000,25000,NO YARD AND ON A STEEP LOT. BATHROOM IS IN THE BASEMENT. IT HAS A SEPTIC TANK AND A CYSTERN.  HAVE TO GIVE A REDUCTION IN RENT BECAUSE TENANT HAS TO BUY WATER EVERY MONTH. SOFFITS NEEDS TO BE REPLACED AND PAINTED. NEED INSULATION.
012006B041.,2020,2020-886,Value in dispute,3/5/21,7/26/21,Decrease Value,40900,,,RP,R,1,BATAVIA,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,04487R01,Board of Revision,2020,90900,50000,"ELECTRIC BILLS ARE VERY HIGH, OVER $ 600 MONTHLY DUE TO NO INSULATION, POOR WINDOWS, AND DOORS. IT HAS A CYSTERN AND SEPTIC TANK.  WATER IS VERY EXPENSIVE (70 PER LOAD). SOFFITS NEED TO BE REPAIRED AND PAINTED. GUTTERS NEED TO BE REPLACED AND SO DOES PART OF THE ROOF. THE LOT IS VERY STEEP AND HARD TO MAINTAIN."
114316.010.,2020,2020-887,Value in dispute,1/15/21,7/20/21,Decrease Value,19000,,,RP,R,11,,GOSHEN TWP / GOSHEN LSD,GOSHEN TWP , GOSHEN LSD,04171R11,Board of Revision,2020,109000,90000,
172519D149.,2020,2020-888,Value in dispute,2/8/21,8/31/21,Decrease Value,84500,,,RP,R,17,,MIAMI TWP / L0VELAND CITY SD,MIAMI TWP , L0VELAND CITY SD,00496R17,Board of Revision,2020,359000,274500,DOCUMENTATION ATTACHED
413217B012.,2020,2020-889,Value in dispute,3/8/21,9/7/21,Decrease Value,51500,,,RP,R,41,CINCINNATI,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,01660R41,Board of Revision,2020,167500,116000,"THE HOUSE IS CIRA 1940 CAPE COD AND HAS NOT BEEN OCCUPIED IN AT LEAST 15 YEARS. WE HAVE DONE NO IMPROVEMENTS SINCE REVALUATION.  NEEDS NEW BASEMENT FOUNDATION, NEW ROOF, CEILING IS FALLING IN, NEEDS NEW GUTTERS AND WINDOWS, ETC.  HOUSE NOT WORTH COST OF REPAIRS."
110707,2020,MH 2021-001,Value in dispute,2/25/21,6/4/21,Decrease Value,11000,,,MH,R,1,BATAVIA,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,04403M40,Board of Revision,2020,20000,9000,"MANY THINGS NEED TO BE FIXED HOLES IN THE ROOF, HOLE IN THE CEILING, DOOR FALLING APART, NO WORKING BATHROOM, LEAKING SINK FROM GARBAGE. DISPOSAL NOT WORKING AND FLOOR FALLING THROUGH.. SEE ATTACHED."
012002D149.,2020,,,11/20/20,,,256900,,,RP,R,1,BATAVIA,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,04491R01,Informal,2020,256900,,
012003E035.,2020,,,10/30/20,,,366500,,,RP,R,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,04441R01,Informal,2020,366500,,
012003H094.,2020,,,11/11/20,,,201100,,,RP,R,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,04442R01,Informal,2020,201100,,
012003H103.,2020,,,11/4/20,,,375800,,,RP,R,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,04442R01,Informal,2020,375800,,
012004B091.,2020,,Value in dispute,10/30/20,,Decrease Value,222150,,,RP,R,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,04503R01,Informal,2020,222150,,
012004E134.,2020,,,11/25/20,,,269600,,,RP,R,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,04503R01,Informal,2020,269600,,
012005B151.,2020,,,11/25/20,,,42700,,,RP,R,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,04499R01,Informal,2020,42700,,
012005B151T,2020,,,11/25/20,,,235900,,,RP,E,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,04499R01,Informal,2020,235900,,
012005B225.,2020,,,11/4/20,,,900,,,RP,R,1,BATAVIA,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,04499R01,Informal,2020,900,,
012005B225T,2020,,,11/4/20,,,225600,,,RP,E,1,BATAVIA,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,04499R01,Informal,2020,225600,,
012005B268.,2020,,,11/10/20,,,2000,,,RP,R,1,BATAVIA,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,04498R01,Informal,2020,2000,,
012005B268T,2020,,,11/10/20,,,518100,,,RP,E,1,BATAVIA,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,04498R01,Informal,2020,518100,,
012005B271.,2020,,,10/30/20,10/30/20,,2000,,,RP,R,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,04498R01,Informal,2020,2000,,
012005B271T,2020,,,10/30/20,10/30/20,,447100,,,RP,E,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,04498R01,Informal,2020,447100,,
012005B274.,2020,,,10/30/20,10/30/20,,2000,,,RP,R,1,BATAVIA,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,04498R01,Informal,2020,2000,,
012005B274T,2020,,,10/30/20,10/30/20,,429100,,,RP,E,1,BATAVIA,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,04498R01,Informal,2020,429100,,
012005B379T,2020,,,11/18/20,,,287000,,,RP,E,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,04496R01,Informal,2020,287000,,
012005B381.,2020,,,11/18/20,,,1800,,,RP,R,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,04496R01,Informal,2020,1800,,
012005B381T,2020,,,11/18/20,,,307300,,,RP,E,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,04496R01,Informal,2020,307300,,
012005B394.,2020,,,11/18/20,,,2700,,,RP,R,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,04498R01,Informal,2020,2700,,
012005B394T,2020,,,11/18/20,,,422200,,,RP,E,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,04498R01,Informal,2020,422200,,
012005B406.,2020,,,11/18/20,,,2200,,,RP,R,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,04496R01,Informal,2020,2200,,
012005B406T,2020,,,11/18/20,,,308800,,,RP,E,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,04496R01,Informal,2020,308800,,
